2026-01-14 11:51:57 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:51:59 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:01 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:03 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:05 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:07 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:09 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:11 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:13 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:15 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:17 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:19 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:21 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:23 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:25 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:27 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:29 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:31 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:33 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:35 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:37 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:39 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:41 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:43 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:45 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:47 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:49 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:51 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:53 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:55 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:57 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:52:59 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:53:01 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:53:03 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:53:05 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:53:07 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:53:09 [INFO]: Shutting down logger... {"service":"gps-tracker"}
